,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Atenção Primária,603,Outras Despesas Variáveis - Pessoal Civil,1621,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,604,Outras Despesas Variáveis - Pessoal Civil,,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,605,Indenizações e Restituições Trabalhistas,1500,"R$ 10.000,00","R$ 21.795,00",,"R$ 23,31","R$ 8.271,48","R$ 8.271,48","R$ 8.271,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 23.500,21","R$ 23.500,21","R$ 23.500,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 31.771,69","R$ 31.771,69","R$ 31.771,69"
Atenção Primária,606,Indenizações e Restituições Trabalhistas,1631,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,607,Diárias - Pessoal Civil,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,608,Diárias - Pessoal Civil,1631,"R$ 3.000,00",,"R$ 1.900,00","R$ 1.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,609,Diárias - Pessoal Civil,1621,"R$ 1.000,00",,,"R$ 760,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 240,00","R$ 240,00","R$ 240,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 240,00","R$ 240,00","R$ 240,00"
Atenção Primária,610,Materiais de Consumo,1500,"R$ 25.000,00","R$ 236.000,00","R$ 5.300,00","R$ 19.734,19","R$ 160.054,31","R$ 0,00","R$ 0,00","R$ 31.834,71","R$ 102.247,75","R$ 0,00","R$ 44.076,79","R$ 68.669,54","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 235.965,81","R$ 170.917,29","R$ 0,00"
Atenção Primária,611,Materiais de Consumo,,"R$ 700.000,00",,"R$ 51.114,00","R$ 586.228,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 29.665,50","R$ 0,00","R$ 0,00","R$ 32.991,76","R$ 28.478,37","R$ 28.365,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 62.657,26","R$ 28.478,37","R$ 28.365,79"
Atenção Primária,612,Materiais de Consumo,1621,"R$ 200.000,00","R$ 72.000,00",,"R$ 156.006,70","R$ 89.022,75","R$ 25.773,46","R$ 0,00","R$ 10.647,79","R$ 25.544,49","R$ 39.364,03","R$ 16.322,76","R$ 38.319,71","R$ 40.481,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 115.993,30","R$ 89.637,66","R$ 79.845,61"
