,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Secretaria,425,Serviços de Terceiros PJ,1500,"R$ 70.000,00","R$ 11.062,13",,"R$ 2.614,00","R$ 20.162,13","R$ 295,15","R$ 0,00","R$ 58.600,00","R$ 3.934,53","R$ 3.886,03","-R$ 314,00","R$ 8.973,83","R$ 3.824,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 78.448,13","R$ 13.203,51","R$ 7.710,17"
Secretaria,426,Serviços de Tecnologia da Informação e Comunicação,1500,"R$ 45.000,00",,,"R$ 45.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,427,Auxílio-alimentação,1500,"R$ 23.200,00",,,"R$ 17.306,67","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 2.293,33","R$ 2.293,33","R$ 2.293,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.893,33","R$ 5.893,33","R$ 5.893,33"
Secretaria,428,Despesas de Exercícios Anteriores,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,429,Equipamentos e Materiais Permanentes,1500,"R$ 2.000,00",,,"R$ 1.290,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 710,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 710,00","R$ 710,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 710,00","R$ 710,00","R$ 710,00"
Secretaria,425,Serviços de Terceiros PJ,1605,"R$ 0,00","R$ 150,00",,"R$ 0,00","R$ 150,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 150,00","R$ 0,00","R$ 0,00"
Secretaria,429,Equipamentos e Materiais Permanentes,2621,"R$ 0,00","R$ 317.906,00",,"R$ 317.906,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,429,Equipamentos e Materiais Permanentes,2755,"R$ 0,00","R$ 10.761,66",,"R$ 10.761,66","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Formação Recursos Humanos,430,Diárias - Pessoal Civil,1600,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Formação Recursos Humanos,431,Materiais de Consumo,1600,"R$ 300,00",,,"R$ 300,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Formação Recursos Humanos,432,Serviços de Terceiros PF,1600,"R$ 100,00",,,"R$ 100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Formação Recursos Humanos,433,Serviços de Terceiros PJ,1600,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Atenção Primária,448,Indenizações e Restituições,1500,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
