,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro
Atenção Primária ,207,Materiais de Consumo,1621,"R$ 135.000,00",,,"R$ 135.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,208,Serviços de Terceiros PJ,1621,"R$ 120.000,00",,,"R$ 120.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,209,Serviços de Tecnologia da Informação e Comunicação,1621,"R$ 50.000,00",,,"R$ 50.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,210,Equipamentos e Materiais Permanentes ,1621,"R$ 77.260,00",,,"R$ 77.260,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,211,Folha de Pagamento,1621,"R$ 40.000,00",,,"R$ 40.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,212,Folha de Pagamento,1621,"R$ 162,00",,,"R$ 162,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,213,Folha de Pagamento,1621,"R$ 8.000,00",,,"R$ 8.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,214,Folha de Pagamento,1621,"R$ 200,00",,,"R$ 200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,215,Serviços de Terceiros PJ,1621,"R$ 4.000,00",,,"R$ 4.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,216,Folha de Pagamento,1604,"R$ 30.000,00",,,"R$ 30.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,217,Folha de Pagamento,1604,"R$ 352.000,00",,,"R$ 352.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,218,Folha de Pagamento,1604,"R$ 100.000,00",,,"R$ 100.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
