,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,2.037,Manutenção das atividades da educação,513,Equipamentos e Materiais Permanentes,1570,"R$ 26.625,00",,,"R$ 26.625,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.037,Manutenção das atividades da educação,725,Obrigações Patronais,25403,,"R$ 22.838,54",,"R$ 0,00",,,,,,,"R$ 22.838,54","R$ 22.838,54","R$ 0,00","R$ 0,00","R$ 0,00","R$ 22.838,54",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 22.838,54","R$ 22.838,54","R$ 22.838,54"
Ensino Fundamental,2.037,Manutenção das atividades da educação,726,Obrigações Patronais,25407,,"R$ 31.444,08",,"R$ 0,00",,,,,,,"R$ 31.444,08","R$ 31.444,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 31.444,08",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 31.444,08","R$ 31.444,08","R$ 31.444,08"
Ensino Geral,2.038,Manutenção das atividades da educação,514,Materiais de Consumo,1550,"R$ 42.600,00",,,"R$ 42.600,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,Manutenção das atividades da educação,515," Material, Bem ou Serviço para Distribuição Gratuita",1550,"R$ 30.000,00","R$ 198.900,00",,"R$ 41,00","R$ 0,00",,,"R$ 228.859,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 228.859,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,Manutenção das atividades da educação,516,Serviços de Terceiro PF,1550,"R$ 5.325,00",,,"R$ 5.325,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,Manutenção das atividades da educação,517,Serviços de Terceiros PJ,1550,"R$ 37.275,00",,,"R$ 37.275,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,Manutenção das atividades da educação,518,Obras e Instalações,1550,"R$ 134.800,00",,,"R$ 134.800,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.038,Manutenção das atividades da educação,519,Equipamentos e Materiais Permanentes,1550,"R$ 70.000,00",,,"R$ 58.840,00","R$ 0,00",,,"R$ 11.160,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 11.160,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.038,Manutenção das atividades da educação,687," Material, Bem ou Serviço para Distribuição Gratuita",2550,"R$ 0,00","R$ 200.000,00",,"R$ 7.802,40","R$ 0,00",,,"R$ 0,00",,,"R$ 192.197,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 192.197,60","R$ 0,00","R$ 0,00"
Ensino Geral,2.039,Manutenção das atividades da educação,520,Materiais de Consumo,1551,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039,Manutenção das atividades da educação,521,Serviços de Terceiro PF,1551,"R$ 500,00",,,"R$ 500,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039,Manutenção das atividades da educação,522,Serviços de Terceiros PJ,1551,"R$ 2.600,00",,,"R$ 2.600,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.039,Manutenção das atividades da educação,523,Equipamentos e Materiais Permanentes,1551,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,543,Contratação por tempo Determinado,15001,"R$ 21.300,00",,,"R$ 21.300,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,545,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 159.750,00",,,"R$ 159.750,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,547,Obrigações Patronais,15001,"R$ 31.950,00",,,"R$ 31.950,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,549,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 26.625,00",,,"R$ 26.625,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,551,Diárias - Pessoal Civil,15001,"R$ 21.300,00",,,"R$ 9.162,00","R$ 685,00","R$ 685,00","R$ 685,00","R$ 1.560,00","R$ 1.080,00","R$ 1.080,00","R$ 4.865,00","R$ 5.105,00","R$ 5.105,00","R$ 5.028,00","R$ 5.268,00","R$ 5.268,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.138,00","R$ 12.138,00","R$ 12.138,00"
Ensino Geral,2.040, Atividades do Transporte Escolar,552,Materiais de Consumo,15001,"R$ 426.000,00",,,"R$ 236.891,23","R$ 124.641,38","R$ 1.230,39","R$ 14,76","R$ 17.103,01","R$ 10.984,08","R$ 12.199,71","R$ 11.152,54","R$ 62.811,98","R$ 48.963,78","R$ 36.211,84","R$ 21.632,49","R$ 35.480,69",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 189.108,77","R$ 96.658,94","R$ 96.658,94"
Ensino Geral,2.040, Atividades do Transporte Escolar,555,Serviços de Terceiro PF,15001,"R$ 10.650,00",,,"R$ 9.398,26","R$ 1.251,74","R$ 1.251,74","R$ 1.251,74","R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.251,74","R$ 1.251,74","R$ 1.251,74"
Ensino Geral,2.040, Atividades do Transporte Escolar,556,Serviços de Terceiros PJ,15001,"R$ 2.289.750,00",,,"R$ 1.411.842,97","R$ 102.029,74","R$ 720,56","R$ 34,59","R$ 730.956,29","R$ 407,80","R$ 1.093,77","R$ 33.276,60","R$ 190.566,43","R$ 190.566,43","R$ 11.644,40","R$ 334.053,78","R$ 334.053,78",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 877.907,03","R$ 525.748,57","R$ 525.748,57"
Ensino Geral,2.040, Atividades do Transporte Escolar,544,Contratação por tempo Determinado,15403,"R$ 21.300,00",,,"-R$ 9.353,07","R$ 7.054,85","R$ 7.054,85","R$ 7.054,85","R$ 9.405,53","R$ 9.405,53","R$ 9.405,53","R$ 7.033,05","R$ 7.033,05","R$ 7.033,05","R$ 7.159,64","R$ 7.159,64","R$ 7.159,64",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 30.653,07","R$ 30.653,07","R$ 30.653,07"
