,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,"R$ 0,00",Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,259,Serviços de Terceiros PJ,1576,"R$ 752.160,00",,,"R$ 646.772,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 105.387,68","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 105.387,68","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.058,MANUTENÇÃO DO TRANSPORTE ESCOLAR,260,Equipamentos e Materiais Permanentes,1500,"R$ 54.675,00",,"R$ 20.000,00","R$ 34.675,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.018,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,261,Obras e Instalações,15001,"R$ 20.000,00","R$ 50.000,00","R$ 7.000,00","R$ 42.732,33","R$ 15.585,93","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.585,93","R$ 15.585,93","R$ 4.681,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.681,74","R$ 4.681,74",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 20.267,67","R$ 20.267,67","R$ 20.267,67"
Ensino Fundamental,1.018,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,261,Obras e Instalações,1540,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.018,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,261,Obras e Instalações,1550,"R$ 180.000,00",,"R$ 37.000,00","R$ 143.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.018,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,261,Obras e Instalações,1571,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.018,AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES,261,Obras e Instalações,2571,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,262,Contratação por tempo Determinado,1500,"R$ 1.000,00","R$ 1.500,00",,"R$ 2.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,263,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 300.000,00",,"R$ 36.000,00","R$ 254.517,72","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.482,28","R$ 9.482,28","R$ 9.482,28","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.482,28","R$ 9.482,28","R$ 9.482,28"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,264,Obrigações Patronais,15001,"R$ 150.000,00",,,"R$ 142.205,79","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.794,21","R$ 7.794,21","R$ 7.794,21","R$ 0,00","R$ 0,00","R$ 226,51",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.794,21","R$ 7.794,21","R$ 8.020,72"
Educação Infantil,2.059,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,265,Indenizações e Restituições Trabalhistas,15001,"R$ 10.000,00",,,"R$ 6.287,05","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.712,95","R$ 3.712,95","R$ 3.712,95","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.712,95","R$ 3.712,95","R$ 3.712,95"
