,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,437,Diárias - Pessoal Civil,15001,"R$ 0,00","R$ 20.000,00",,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 601,84","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 601,84","R$ 0,00"
Ensino Geral,2.043,MANUTENÇÃO DO TRANSPORTE ESCOLAR,440,Indenizações e Restituições Trabalhistas,15001,"R$ 0,00","R$ 1.000,00",,"R$ 750,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 250,00","R$ 250,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 250,00","R$ 250,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,238,Contratação por tempo Determinado,1500,"R$ 75.000,00",,,"R$ 75.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,238,Contratação por tempo Determinado,25001,"R$ 0,00","R$ 1.126,12",,"R$ 0,00","R$ 1.028,30","R$ 1.028,30","R$ 1.028,30","R$ 97,82","R$ 97,82","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.126,12","R$ 1.126,12","R$ 1.028,30"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,239,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 30.000,00",,,"R$ 30.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,240,Obrigações Patronais,1500,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,240,Obrigações Patronais,25001,"R$ 0,00","R$ 191,44",,"R$ 0,00","R$ 174,81","R$ 174,81","R$ 0,00","R$ 16,63","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 191,44","R$ 174,81","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,241,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,242,Materiais de Consumo,15001,"R$ 50.000,00",,,"R$ 21.596,84","R$ 25.103,16","R$ 1.688,00","R$ 0,00","R$ 3.300,00","R$ 0,00","R$ 1.688,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 28.403,16","R$ 1.688,00","R$ 1.688,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,243,"Material, Bem ou Serviço p/Dist.Gratuita",15001,"R$ 10.000,00",,,"R$ 0,00","R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.000,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,244,Serviços de Terceiro PF,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.044,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,245,Serviços de Terceiros PJ,15001,"R$ 50.000,00",,,"R$ 5.630,00","R$ 43.150,00","R$ 3.300,00","R$ 0,00","R$ 1.220,00","R$ 15.933,28","R$ 7.599,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 44.370,00","R$ 19.233,28","R$ 7.599,94"
Educação Infantil,2.147,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,246,Subvenções Sociais,1500,"R$ 70.000,00",,,"R$ 70.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.010,INVEST/ESTRUTURAÇÃO DAS UNID ESCOLARES,247,Obras e Instalações,1500,"R$ 100.000,00",,,"R$ 100.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,1.010,INVEST/ESTRUTURAÇÃO DAS UNID ESCOLARES,248,Equipamentos e Materiais Permanentes,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.045,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,249,Contratação por tempo Determinado,1500,"R$ 45.000,00",,,"R$ 45.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.045,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,249,Contratação por tempo Determinado,25001,"R$ 0,00","R$ 6.993,29",,"R$ 0,00","R$ 1.832,87","R$ 1.832,87","R$ 1.832,87","R$ 5.160,42","R$ 5.160,42","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.993,29","R$ 6.993,29","R$ 1.832,87"
