,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,TOTAL ,TOTAL ,TOTAL 
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,154,Obrigações Patronais,1500,"R$ 30.000,00",,,"R$ 30.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,155,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,156,Materiais de Consumo,1500,"R$ 160.000,00",,"$4.200,00 ","R$ 155.800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,158,Serviços de Terceiro PF,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,159,Serviços de Terceiros PJ,1500,"R$ 750.000,00",,,"R$ 483.711,60","R$ 160.000,00","R$ 10.369,32","R$ 0,00","R$ 54.875,08","R$ 21.054,48","R$ 30.948,72","R$ 51.413,32","R$ 19.011,52","R$ 19.486,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 266.288,40","R$ 50.435,32","R$ 50.435,32"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,161,Equipamentos e Materiais Permanentes,1500,"R$ 15.000,00",,,"R$ 15.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,157,Materiais de Consumo,1576,"R$ 112.000,00",,"R$ 15.000,00","R$ 97.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.034, MANUTENCAO DO TRANSPORTE ESCOLAR ,160,Serviços de Terceiros PJ,1576,"R$ 387.000,00","R$ 15.000,00",,"R$ 302.539,61","R$ 0,00","R$ 0,00","R$ 0,00","R$ 87.300,00","R$ 0,00","R$ 0,00","R$ 12.160,39","R$ 59.947,38","R$ 59.947,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 99.460,39","R$ 59.947,38","R$ 59.947,38"
Secretaria,2.037,CONTRIBUICAO P/ A SEG SOCIAL,162,Obrigações Tributárias e Contributivas,15001,"R$ 30.000,00",,,"R$ 27.867,00","R$ 573,00","R$ 573,00","R$ 573,00","R$ 651,00","R$ 651,00","R$ 651,00","R$ 909,00","R$ 909,00","R$ 909,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.133,00","R$ 2.133,00","R$ 2.133,00"
Ensino Geral,2.038,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,163,Materiais de Consumo,1550,"R$ 165.000,00",,,"R$ 81.839,47","R$ 12.808,39","R$ 1.197,96","R$ 0,00","R$ 26.960,04","R$ 28.246,16","R$ 13.149,67","R$ 43.392,10","R$ 29.660,13","R$ 42.735,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 83.160,53","R$ 59.104,25","R$ 55.884,89"
