,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria,Código AT,Atividade,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril,Abril,Abril,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Total,Total
Ensino Geral,1.236.100.072.024,ENSINO MÉDIO,122,Obrigações Patronais,1500,"R$ 0,00",,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.072.024,ENSINO MÉDIO,123,Materiais de Consumo,1500,"R$ 18.000,00",,,"R$ 18.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,1.236.100.072.024,ENSINO MÉDIO,124,Serviços de Terceiros PJ,1500,"R$ 18.000,00",,,"R$ 1.542,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.495,20","R$ 8.495,20","R$ 8.495,20","R$ 7.962,20","R$ 7.962,20","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.457,40","R$ 16.457,40","R$ 8.495,20"
Ensino Superior,1.236.100.072.025,ENSINO SUPERIOR,125,Materiais de Consumo,1500,"R$ 50,00",,,"R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Superior,1.236.100.072.025,ENSINO SUPERIOR,126,Serviços de Terceiros PJ,1500,"R$ 88.100,00",,,"R$ 79.428,29","R$ 2.464,11","R$ 344,00","R$ 0,00","R$ 2.660,05","R$ 4.780,16","R$ 344,00","R$ 3.199,99","R$ 3.199,99","R$ 4.780,16","R$ 347,56","R$ 347,56","R$ 3.007,61",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.671,71","R$ 8.671,71","R$ 8.131,77"
Ensino Geral,1.236.100.072.013,ENSINO COM TRANSFERENCIAS,132,Materiais de Consumo,1550,"R$ 220.000,00",,,"R$ 69.816,96","R$ 78.864,29","R$ 69.449,99","R$ 0,00","R$ 26.201,00","R$ 26.730,80","R$ 71.647,49","R$ 14.043,22","R$ 22.552,42","R$ 37.429,70","R$ 31.074,53","R$ 18.824,15","R$ 12.972,32",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 150.183,04","R$ 137.557,36","R$ 122.049,51"
Ensino Geral,1.236.100.072.013,ENSINO COM TRANSFERENCIAS,133,Materiais de Consumo,1553,"R$ 53.500,00",,,"R$ 23.044,08","R$ 0,00","R$ 0,00","R$ 0,00","R$ 957,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 957,60","R$ 957,60","R$ 29.498,32","R$ 29.498,32","R$ 21.779,46",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 30.455,92","R$ 30.455,92","R$ 22.737,06"
Ensino Geral,1.236.100.072.013,ENSINO COM TRANSFERENCIAS,134,Serviços de Terceiros PJ,1550,"R$ 220.000,00",,,"R$ 202.855,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.640,00","R$ 150,00","R$ 150,00","R$ 4.480,00","R$ 14.970,00","R$ 14.970,00","R$ 2.025,00","R$ 240,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 17.145,00","R$ 15.360,00","R$ 15.120,00"
Ensino Geral,1.236.100.072.013,ENSINO COM TRANSFERENCIAS,135,Serviços de Terceiros PJ,1553,"R$ 15.000,00",,,"R$ 1.262,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.737,50","R$ 13.737,50","R$ 13.737,50",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13.737,50","R$ 13.737,50","R$ 13.737,50"
Ensino Geral,1.236.100.072.013,ENSINO COM TRANSFERENCIAS,136,Equipamentos e Materiais Permanentes,1570,"R$ 75.000,00",,,"R$ 75.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
