,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,204,Diárias - Pessoal Civil,15001,"R$ 1.100,00",,,"R$ 1.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,205,Materiais de Consumo,15001,"R$ 6.336,00",,,"R$ 3.876,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.459,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.459,52","R$ 29,51","R$ 0,00","R$ 0,00","R$ 2.430,01",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.459,52","R$ 2.459,52","R$ 2.459,52"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,206,Serviços de Terceiro PF,15001,"R$ 1.100,00",,,"R$ 1.100,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,207,Serviços de Terceiros PJ,15001,"R$ 2.354,00","R$ 20.000,00",,"R$ 8.039,95","R$ 1.800,00","R$ 0,00","R$ 0,00","R$ 11.257,08","R$ 1.793,49","R$ 1.793,49","R$ 1.256,97","R$ 3.688,73","R$ 3.688,73","R$ 0,00","R$ 7.810,63","R$ 5.334,29",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.314,05","R$ 13.292,85","R$ 10.816,51"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,208,Auxílio-alimentação,15001,"R$ 37.059,00",,,"R$ 37.059,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.072,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,209,Equipamentos e Materiais Permanentes,15001,"R$ 13.552,00",,,"R$ 11.803,00","R$ 1.749,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.749,00","R$ 1.749,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.749,00","R$ 1.749,00","R$ 1.749,00"
Educação Infantil,2.074,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,210,Contratação por tempo Determinado,15001,"R$ 11.000,00",,,"R$ 11.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.074,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,211,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 352.000,00",,,"R$ 352.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.074,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,212,Obrigações Patronais,15001,"R$ 372.086,00",,,"R$ 372.086,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil,2.074,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO,213,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 2.200,00",,,"R$ 2.200,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
